,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
2005-01-01,-0.366,-0.886,-0.491,-0.88,-0.882,-0.831,-0.859,-0.075,-0.253,-0.036,-1.445,-0.481,-0.197,,,
2010-01-01,0.076,0.281,0.127,-0.102,0.207,0.25,0.393,0.01,-0.131,-0.068,-0.04,0.083,-0.045,,,
2015-01-01,0.29,0.605,0.364,0.982,0.674,0.581,0.465,0.065,0.383,0.105,1.485,0.398,0.242,,,
2020-01-01,0.166,1.137,-0.278,2.133,0.367,1.586,0.861,-0.175,1.161,1.094,1.337,0.085,1.143,,,
2025-01-01,0.846,1.909,-0.226,2.0,0.222,1.706,1.624,0.132,1.354,1.245,2.032,0.775,2.131,,,
2030-01-01,1.587,2.034,0.61,1.857,0.266,0.947,1.203,0.483,1.292,1.336,2.575,1.561,2.471,,,
2035-01-01,2.162,1.597,0.741,2.365,1.09,1.445,0.695,0.361,0.85,1.184,2.469,0.936,2.334,,,
2040-01-01,2.319,1.77,0.977,1.788,1.614,1.886,0.863,0.586,0.581,0.676,2.892,1.21,2.25,,,
2045-01-01,2.253,1.955,0.647,1.761,1.319,1.199,1.149,0.822,0.567,1.302,3.189,0.933,2.654,,,
2050-01-01,2.074,1.826,0.576,1.518,0.827,1.185,0.664,1.023,0.431,1.491,3.338,0.578,3.081,,,
2055-01-01,1.858,2.599,0.316,1.545,0.43,2.093,0.055,1.4,0.973,0.714,2.373,1.797,2.63,,,
