,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,37.009,36.588,35.852,37.598,37.985,37.023,37.807,36.916,38.204,38.827,38.368,,38.702,
1990-01-01,,,37.507,39.203,37.756,37.598,36.847,37.278,38.264,36.916,38.204,38.827,38.368,,38.529,
1995-01-01,,,38.165,39.203,37.756,38.017,37.704,39.165,38.457,38.58,37.645,38.481,37.656,,37.314,
2000-01-01,,,38.49,37.599,37.643,39.528,38.302,39.905,39.268,38.58,38.474,37.18,38.292,,39.041,
2005-01-01,,,38.49,39.668,40.8,39.528,39.692,39.905,39.268,40.349,38.474,39.344,39.657,,39.041,
2010-01-01,,,40.587,39.668,40.8,39.284,40.001,38.781,38.769,40.349,39.283,39.344,39.657,,39.104,
2015-01-01,,,40.587,38.907,40.23,39.283,40.304,38.781,39.004,39.149,40.551,38.834,38.838,,39.104,
2020-01-01,39.574,39.668,38.538,38.907,39.84,39.467,40.304,38.296,39.958,39.149,40.551,39.822,40.08,,,
2025-01-01,39.529,40.772,38.538,38.591,37.491,39.467,39.866,38.532,39.958,37.384,39.962,42.461,40.526,,,
2030-01-01,40.468,40.772,41.21,39.434,39.025,41.307,41.148,38.881,39.047,38.811,41.799,42.461,40.543,,,
2035-01-01,40.468,39.681,41.21,39.434,39.281,42.02,41.213,38.881,40.658,38.811,42.019,41.046,41.424,,,
2040-01-01,39.885,41.055,38.261,41.143,39.281,42.841,41.213,38.105,40.658,39.9,42.019,41.046,41.988,,,
2045-01-01,42.557,41.187,40.365,41.546,40.688,42.841,43.28,42.596,39.379,39.9,41.385,41.04,41.988,,,
2050-01-01,42.557,41.259,41.895,41.546,40.688,42.184,43.28,42.596,41.352,39.557,44.182,41.552,43.498,,,
2055-01-01,40.614,41.259,41.895,42.15,40.78,41.705,41.871,41.536,41.352,40.522,44.182,41.552,43.498,,,
