,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-1.104,-0.456,0.051,1.671,0.796,0.783,0.174,0.175,0.437,-0.077,-0.208,-0.028,0.096,,0.742,
1995-01-01,-0.34,0.596,0.398,1.211,0.524,0.357,0.396,-0.499,-0.796,-0.422,0.417,-0.652,-0.574,,-0.111,
2000-01-01,-0.749,-0.154,-0.106,0.327,-0.086,-0.563,0.506,-0.719,-0.286,-0.742,0.239,-0.362,0.031,,0.231,
2005-01-01,0.676,0.013,-0.344,-0.847,-0.09,-0.577,-0.029,0.024,0.056,0.433,-0.188,0.235,-0.326,,-0.099,
2010-01-01,1.13,,,-0.902,-0.339,,-0.559,0.484,0.155,0.256,0.184,0.423,0.029,,-0.763,
2015-01-01,0.387,,,-1.46,-0.805,,-0.488,0.535,0.434,0.552,-0.444,0.385,0.745,,,
2020-01-01,0.208,,,-1.713,-0.303,,-0.609,0.716,0.442,1.31,-0.374,0.029,0.448,,,
2025-01-01,-0.626,,,-0.772,-0.533,,0.067,0.24,0.452,0.928,-0.514,-0.166,1.552,,,
2030-01-01,-1.382,,,-0.761,-0.365,,-0.243,0.627,-0.631,1.285,-1.323,-1.298,1.647,,,
2035-01-01,-0.882,,,-0.966,-0.168,,-1.046,0.926,-0.238,1.694,-0.371,-1.233,1.666,,,
2040-01-01,-0.746,,,-0.853,0.175,,-0.533,1.084,-1.377,1.244,-1.338,-1.079,2.212,,,
2045-01-01,-0.746,,,-1.115,-0.463,,-0.626,1.805,-2.145,1.109,-0.811,-0.818,2.036,,,
2050-01-01,-0.808,,,-1.211,0.328,,0.312,1.641,-2.308,1.852,0.155,-0.205,1.96,,,
