,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,31.519,32.193,33.524,33.303,32.229,33.236,32.352,33.011,33.314,32.225,32.753,,33.1,
1990-01-01,,,33.521,32.978,33.622,33.301,33.548,33.236,33.129,33.011,32.33,32.996,32.753,,33.1,
1995-01-01,,,34.866,32.978,33.622,33.497,33.548,33.521,34.106,34.253,33.509,34.462,32.793,,33.198,
2000-01-01,,,34.866,33.821,33.144,33.497,33.476,33.521,34.106,34.253,33.509,34.462,33.359,,34.561,
2005-01-01,,,33.122,34.427,32.984,33.365,33.802,34.301,33.198,33.905,33.604,33.476,34.375,,34.561,
2010-01-01,,,33.694,34.427,33.814,33.758,34.463,34.301,34.319,33.05,34.607,33.476,34.375,,33.931,
2015-01-01,,,33.941,34.706,34.819,34.81,34.463,33.414,34.319,34.045,34.657,34.432,35.122,,33.079,
2020-01-01,34.089,34.951,33.941,34.706,34.819,34.81,35.227,34.282,34.865,34.045,34.982,34.545,35.408,,,
2025-01-01,34.697,34.926,34.466,35.211,34.187,34.932,35.227,35.204,34.865,35.163,36.816,34.58,35.408,,,
2030-01-01,35.63,34.926,35.065,35.814,34.187,35.279,35.348,35.204,34.827,35.163,36.816,34.58,36.613,,,
2035-01-01,35.63,34.782,35.065,35.814,35.553,35.813,35.74,35.203,35.565,35.08,35.22,34.885,36.613,,,
2040-01-01,35.218,36.327,34.712,34.746,35.553,35.972,35.842,36.309,35.565,35.08,35.257,34.885,36.234,,,
2045-01-01,35.952,36.327,36.259,34.851,35.154,36.197,35.842,36.309,35.168,34.938,35.257,35.082,35.894,,,
2050-01-01,35.952,35.66,36.259,35.822,35.533,36.551,34.163,36.001,35.735,35.649,35.534,37.021,36.022,,,
2055-01-01,36.569,35.837,35.476,35.892,36.152,36.551,36.548,35.709,35.735,35.649,36.494,37.529,36.826,,,
