,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
2005-01-01,0.154,-1.88,-0.799,0.642,-1.37,-0.556,-0.342,-0.213,0.496,0.456,-2.225,-0.55,0.459,0.389,,
2010-01-01,-0.3,0.285,0.443,0.202,0.514,0.137,-0.33,-0.403,-0.006,-0.171,-0.181,-0.019,-0.649,-0.098,,
2015-01-01,0.145,1.596,0.356,-0.844,0.856,0.419,0.671,0.616,-0.49,-0.286,2.405,0.569,0.19,-0.291,,
2020-01-01,0.529,-0.247,0.937,-0.299,0.349,1.809,1.893,0.674,-0.059,1.084,2.575,0.243,2.059,,,
2025-01-01,0.323,-0.716,2.448,0.49,-0.53,2.754,1.385,0.458,0.532,2.615,2.937,0.77,2.961,,,
2030-01-01,1.108,0.792,2.234,0.711,0.286,2.894,1.323,0.604,0.316,3.624,2.987,0.991,2.332,,,
2035-01-01,1.795,1.032,2.417,0.943,1.36,2.665,2.784,0.319,1.038,3.653,3.498,0.758,1.449,,,
2040-01-01,2.119,0.75,3.699,0.566,0.795,2.281,2.44,0.082,1.188,2.518,4.438,1.582,1.801,,,
2045-01-01,1.228,0.416,4.318,0.044,0.126,2.665,2.221,0.693,0.897,1.646,4.406,0.711,2.152,,,
2050-01-01,1.616,-0.034,2.335,0.956,-0.788,3.34,2.274,0.365,0.87,3.104,4.277,0.072,3.19,,,
2055-01-01,2.697,-0.488,1.364,1.433,-1.297,2.206,3.091,-0.309,0.512,3.055,4.273,0.75,4.191,,,
