,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.002,0.32,0.266,0.7,0.701,1.08,0.455,-0.48,0.994,0.357,0.646,0.917,0.423,,-0.214,
1995-01-01,0.219,0.981,0.225,0.795,0.15,0.75,0.314,-0.094,0.556,-0.292,0.184,0.028,0.098,,-0.466,
2000-01-01,0.092,0.522,-0.051,-0.053,-0.282,0.284,0.359,-0.13,-0.081,-0.026,-0.188,0.008,0.275,,-0.077,
2005-01-01,0.528,0.062,-0.166,-0.434,-0.296,-0.05,0.279,0.089,0.119,0.305,-0.392,0.235,-0.272,,0.478,
2010-01-01,-0.218,-0.775,0.066,-0.191,-0.049,-0.758,-0.458,0.484,-0.662,0.035,-0.351,-0.694,-0.178,,0.279,
2015-01-01,-0.624,-1.109,-0.34,-0.816,-0.224,-1.304,-0.95,0.131,-0.926,-0.379,0.101,-0.494,-0.347,,,
2020-01-01,-0.911,-1.018,-0.776,-1.565,-0.507,-1.761,-1.108,-0.034,-0.53,-0.701,-0.057,-1.14,-0.575,,,
2025-01-01,-0.995,-1.031,-1.313,-1.891,-1.339,-2.193,-0.926,-0.515,-0.878,-1.12,-0.492,-1.084,-0.138,,,
2030-01-01,-0.628,-0.904,-1.911,-2.442,-1.916,-2.792,-0.833,-1.199,-0.534,-1.307,-0.945,-0.669,-0.542,,,
2035-01-01,-1.041,-0.976,-2.119,-2.263,-2.096,-3.192,-0.784,-1.231,-0.178,-0.748,-1.74,-0.66,-0.1,,,
2040-01-01,-1.328,-1.005,-3.164,-2.288,-2.904,-3.648,-1.345,-0.717,-0.575,-0.79,-2.083,-0.794,-0.505,,,
2045-01-01,-1.637,-1.108,-3.883,-2.773,-3.451,-3.897,-1.554,-0.133,-0.67,-1.116,-2.046,-1.145,-0.892,,,
2050-01-01,-1.457,-1.486,-4.332,-3.288,-3.796,-3.917,-1.884,-0.396,-1.116,-1.318,-2.177,-1.293,-1.007,,,
