,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.256,1.532,1.147,1.337,0.33,-0.559,1.251,1.293,0.192,1.053,0.666,0.018,1.379,,2.522,
1995-01-01,0.431,0.473,0.266,0.465,0.916,0.596,0.986,0.107,0.553,1.07,0.662,0.094,1.348,,1.163,
2000-01-01,0.074,-0.013,0.192,0.439,0.114,0.482,-0.052,-0.624,0.563,-0.133,0.728,0.259,0.407,,-0.095,
2005-01-01,-0.183,-0.196,-0.292,-0.692,-0.041,0.354,-1.11,-0.796,0.202,-0.675,0.15,-0.588,0.282,,-1.465,
2010-01-01,-0.097,-0.795,-0.837,-1.159,-0.817,-0.089,-0.685,-0.383,-0.134,-0.948,-0.847,-0.009,-1.351,,-2.125,
2015-01-01,-0.481,-1.0,-0.476,-0.39,-0.502,-0.785,-0.39,0.402,-1.376,-0.368,-1.36,0.226,-2.065,,,
2020-01-01,-0.572,-0.877,-0.869,-1.366,-0.373,-1.041,-0.643,0.811,-1.439,-0.231,-1.957,-0.221,-1.787,,,
2025-01-01,-0.635,-1.38,-1.562,-1.269,-0.451,-1.143,-1.142,0.169,-1.792,-0.301,-2.138,0.305,-2.113,,,
2030-01-01,-1.306,-1.03,-2.52,-1.243,-0.189,-1.706,-0.919,-0.06,-1.692,-0.418,-1.456,-0.388,-1.748,,,
2035-01-01,-0.737,-0.873,-3.433,-2.219,-1.548,-1.318,-1.227,-0.36,-1.422,-1.256,-1.285,-1.159,-2.647,,,
2040-01-01,-0.513,-1.138,-2.989,-1.57,-0.802,-1.002,-0.243,-1.591,-1.567,-1.342,-1.08,-0.197,-2.795,,,
2045-01-01,-0.306,-0.48,-2.294,-2.421,-1.02,-1.463,0.548,-1.743,-1.69,-0.94,-0.064,-0.054,-3.104,,,
2050-01-01,-0.416,-0.56,-1.992,-2.395,-1.742,-0.868,-0.005,-2.284,-1.845,-1.038,-0.685,0.101,-2.25,,,
