,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,36.406,35.121,35.43,36.471,36.583,34.852,37.237,36.567,35.952,36.039,38.062,,37.272,
1990-01-01,,,36.406,36.647,35.43,36.471,35.95,36.096,37.237,35.173,36.698,36.761,33.638,,37.182,
1995-01-01,,,37.612,36.647,36.449,35.992,36.694,38.76,37.468,37.783,36.698,36.761,34.371,,36.72,
2000-01-01,,,37.612,37.688,36.449,36.238,36.694,38.76,37.468,37.783,36.426,35.002,36.354,,36.72,
2005-01-01,,,36.603,37.688,38.061,37.894,36.932,36.733,37.281,36.879,37.208,38.034,37.64,,34.796,
2010-01-01,,,37.172,37.274,38.061,37.894,38.064,35.68,37.281,36.879,37.208,38.193,39.459,,38.147,
2015-01-01,,,37.172,37.917,39.101,38.023,38.064,38.103,35.012,37.919,38.793,38.193,39.459,,38.147,
2020-01-01,37.18,38.75,35.366,37.998,39.101,38.023,37.963,38.103,37.245,37.919,38.793,38.45,41.286,,,
2025-01-01,37.673,38.486,35.366,39.786,35.814,38.853,38.195,37.815,38.864,39.695,38.111,38.45,41.286,,,
2030-01-01,39.339,38.865,36.553,39.786,37.655,38.853,38.195,36.695,40.198,39.695,38.019,38.159,39.89,,,
2035-01-01,39.339,39.607,36.553,39.384,37.655,39.01,39.962,38.555,40.198,38.943,37.965,36.888,38.34,,,
2040-01-01,39.773,39.607,38.43,39.384,38.215,39.887,39.962,38.555,38.449,38.085,38.265,37.97,45.482,,,
2045-01-01,39.773,39.01,39.66,39.712,40.494,39.892,39.208,38.794,38.449,39.126,38.265,40.138,45.482,,,
2050-01-01,39.266,39.01,39.66,40.824,40.494,40.241,38.845,38.794,37.51,39.126,38.024,40.138,40.545,,,
2055-01-01,39.958,38.966,37.56,40.824,39.642,43.562,38.845,37.594,40.562,39.495,39.133,40.539,41.826,,,
