,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,1118.502,1114.364,1066.447,1138.627,1169.652,1102.054,1272.989,1146.393,1176.668,1243.887,1119.509,1111.755,1218.556,,,1157.982
1990-01-01,1144.658,1114.364,1162.808,1263.678,1169.652,1225.501,1149.253,1191.475,998.89,1272.749,1119.509,1108.384,1218.556,,,1157.982
1995-01-01,1144.658,1205.565,1126.157,1217.573,1187.228,1190.028,1149.253,1067.441,998.89,1054.18,1124.12,1108.384,1322.209,,,1232.165
2000-01-01,1186.082,1270.055,1126.157,1103.628,1149.223,1185.902,1150.075,1067.441,1184.525,1054.18,1190.237,1151.345,1015.128,,,1230.267
2005-01-01,1186.082,1188.199,1184.286,1103.628,1095.392,1089.45,1150.075,1154.943,1184.525,1154.502,1234.349,1151.345,1015.128,,,1014.084
2010-01-01,1072.789,1118.218,1184.286,1148.789,1095.392,1089.45,1105.466,1154.943,1386.703,1151.54,1219.244,1225.682,1192.507,,,1014.084
2015-01-01,1072.789,1118.218,1232.436,1106.656,1216.039,1200.194,1105.466,1299.941,1152.376,1151.54,1075.609,1225.682,1100.493,,,1276.014
2020-01-01,1242.302,1270.931,1223.956,1102.783,1252.553,1200.194,1186.98,1282.05,1152.376,1077.809,1075.609,1284.404,1100.493,,,
2025-01-01,1277.107,1246.824,1223.956,1102.783,1300.412,1310.852,1093.26,1236.077,1193.823,1077.809,1210.992,1212.258,1041.351,,,
2030-01-01,1277.107,1197.614,1271.39,1082.935,1300.412,1310.852,1093.26,1236.077,1176.956,1267.745,1210.992,1175.135,1041.351,,,
2035-01-01,1241.248,1144.646,1271.39,1082.935,1207.942,1147.735,1200.489,1293.379,1176.956,1081.775,1254.587,1175.135,1358.556,,,
2040-01-01,1241.248,1144.646,1300.964,1072.846,1207.942,1147.735,1196.35,1131.305,1271.232,1081.775,1180.064,1250.868,1186.943,,,
2045-01-01,1016.02,1192.868,1240.581,960.258,1234.252,1196.793,1196.35,1131.305,1250.761,1152.971,1180.064,1250.868,1146.768,,,
2050-01-01,1016.02,1112.522,966.002,960.258,1309.197,1322.159,1003.093,1319.411,1250.761,1202.207,1213.802,1208.07,1134.422,,,
2055-01-01,1310.139,1107.713,966.002,1182.274,1309.197,1320.243,1003.093,1249.547,1290.697,1235.903,1213.802,1087.486,1134.422,,,
