,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.619,0.238,-0.24,-0.237,-0.016,0.621,-0.03,0.439,0.006,0.619,0.436,0.244,0.348,,-0.503,
1995-01-01,0.537,0.447,-0.21,-0.245,-0.031,0.509,-0.021,-0.066,-0.101,0.096,0.363,0.184,-0.07,,0.071,
2000-01-01,-0.082,0.249,-0.094,-0.25,0.056,0.024,-0.006,0.173,-0.224,-0.007,0.031,0.126,0.04,,0.21,
2005-01-01,-0.228,-0.024,-0.04,0.132,-0.17,-0.274,0.063,-0.062,0.048,-0.304,-0.095,-0.039,-0.051,,0.228,
2010-01-01,-0.465,-0.33,0.171,0.208,0.052,-0.361,0.083,-0.305,0.216,-0.123,-0.33,-0.242,-0.133,,-0.006,
2015-01-01,-0.382,-0.58,0.414,0.391,0.11,-0.519,-0.089,-0.178,0.054,-0.281,-0.406,-0.274,-0.134,,,
2020-01-01,-0.18,-0.716,0.402,0.874,0.459,-0.46,-0.087,-0.21,0.25,-0.768,-0.625,-0.477,-0.467,,,
2025-01-01,-0.373,-0.736,0.537,0.88,0.933,-0.883,-0.079,-0.061,-0.329,-1.163,-0.716,-0.624,-0.849,,,
2030-01-01,-0.452,-0.74,0.739,0.779,0.699,-1.025,-0.555,-0.072,-0.43,-1.693,-0.651,-0.486,-1.002,,,
2035-01-01,-0.77,-0.736,0.82,1.322,0.974,-1.085,-0.418,-0.113,-0.208,-1.811,-0.83,-0.647,-1.244,,,
2040-01-01,-0.824,-0.955,1.162,1.579,0.949,-1.209,-0.481,-0.187,-0.181,-1.675,-0.707,-0.588,-1.461,,,
2045-01-01,-0.867,-0.943,1.095,1.935,1.158,-0.935,-0.41,0.039,0.285,-1.718,-0.617,-0.615,-1.582,,,
2050-01-01,-0.86,-1.178,1.466,2.119,1.755,-1.183,-0.046,0.151,0.587,-2.056,-0.591,-0.765,-1.592,,,
