,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
2005-01-01,-0.065,0.146,-0.369,-0.407,-1.612,-0.208,-1.031,-0.084,-0.261,-0.558,-1.315,-0.069,0.169,-0.443,,
2010-01-01,-0.013,0.282,0.204,0.085,0.697,0.073,-0.003,-0.009,0.18,0.16,0.267,0.24,-0.425,0.441,,
2015-01-01,0.078,-0.428,0.165,0.322,0.914,0.134,1.034,0.093,0.081,0.397,1.048,-0.171,0.255,0.002,,
2020-01-01,-0.434,-0.786,0.244,0.893,-0.56,0.713,1.376,-0.587,0.529,1.199,0.659,-0.314,2.547,,,
2025-01-01,-0.928,-0.57,1.373,0.185,-1.163,1.665,1.305,-0.485,0.945,0.686,1.074,1.007,3.044,,,
2030-01-01,-0.838,-0.81,1.416,0.741,-0.973,1.446,1.583,1.118,1.043,1.117,1.71,1.139,1.781,,,
2035-01-01,-1.005,-0.496,1.196,1.606,-1.156,0.469,1.367,1.177,1.02,1.852,1.441,-0.054,2.147,,,
2040-01-01,-0.731,0.521,0.465,1.305,-1.657,1.581,1.551,0.279,0.936,1.777,0.178,0.159,1.888,,,
2045-01-01,0.286,0.084,-0.564,1.757,-1.57,1.681,2.06,0.695,0.773,1.619,0.874,-0.287,1.37,,,
2050-01-01,0.426,-0.389,0.684,1.317,-1.324,0.912,2.399,0.912,0.52,1.079,2.084,0.371,3.209,,,
2055-01-01,-0.469,-0.601,0.631,0.604,-1.42,0.839,2.539,0.593,0.329,1.213,1.665,0.727,3.431,,,
