,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,776.944,603.846,748.959,685.365,741.681,722.524,771.25,721.843,703.787,731.388,687.667,684.697,749.355,,,653.378
1990-01-01,744.271,710.606,690.307,685.365,741.681,756.876,625.196,688.345,725.042,731.388,752.153,684.697,749.355,,,653.378
1995-01-01,726.718,710.606,657.734,719.726,649.597,756.876,625.196,688.345,801.355,653.455,727.17,695.652,742.921,,,751.325
2000-01-01,726.718,752.59,657.734,737.229,649.597,663.23,747.407,710.447,701.971,653.455,720.668,722.553,630.404,,,725.527
2005-01-01,710.804,743.061,748.616,681.443,709.92,663.23,747.407,710.447,701.971,745.508,720.668,722.553,630.404,,,725.527
2010-01-01,710.804,743.061,780.267,681.443,709.92,720.881,785.145,724.099,681.713,745.508,694.613,756.354,758.122,,,744.208
2015-01-01,785.697,,,806.979,795.155,,695.95,754.026,681.713,736.849,694.613,731.045,736.991,,,744.208
2020-01-01,744.804,,,756.288,795.155,,695.95,629.721,694.473,736.849,682.106,731.045,736.991,,,
2025-01-01,692.757,,,756.288,830.018,,802.097,629.721,746.504,743.06,682.106,749.2,713.594,,,
2030-01-01,692.757,,,882.521,795.486,,829.274,736.55,788.865,784.35,796.382,807.967,713.594,,,
2035-01-01,787.507,,,882.521,795.486,,808.598,736.55,762.225,670.416,794.175,803.782,730.983,,,
2040-01-01,787.507,,,955.027,724.346,,801.919,736.35,730.764,670.416,794.175,803.782,711.487,,,
2045-01-01,699.841,,,838.577,724.346,,784.739,736.35,730.764,680.895,828.074,743.229,711.487,,,
2050-01-01,699.841,,,838.577,806.223,,784.739,641.382,718.563,779.819,717.274,743.229,757.347,,,
2055-01-01,723.959,,,806.414,846.409,,833.837,641.382,660.447,779.819,717.274,750.741,741.676,,,
