,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.86,-0.89,-0.528,-0.868,-0.475,-0.698,-0.427,-0.4,-0.311,-0.418,-0.494,-0.781,-0.646,,-0.228,
1995-01-01,-0.44,-0.511,-0.227,-0.463,-0.38,-0.571,-0.381,-0.084,-0.294,-0.328,-0.425,-0.408,-0.507,,-0.163,
2000-01-01,-0.073,-0.164,-0.039,-0.282,-0.115,-0.218,-0.119,-0.042,-0.079,-0.21,-0.145,-0.059,-0.194,,-0.013,
2005-01-01,0.243,0.146,0.223,0.156,0.145,0.113,0.058,0.066,0.074,0.06,0.064,0.229,0.113,,0.13,
2010-01-01,0.519,0.521,0.279,0.46,0.323,0.466,0.24,0.206,0.097,0.334,0.367,0.435,0.491,,0.274,
2015-01-01,0.611,0.898,0.291,0.997,0.501,0.909,0.629,0.254,0.513,0.562,0.633,0.584,0.744,,,
2020-01-01,0.89,1.217,0.494,1.447,0.838,1.002,0.691,0.46,0.806,0.766,0.985,0.791,1.133,,,
2025-01-01,1.273,1.42,0.487,1.731,0.802,1.264,0.908,0.711,1.124,1.086,1.412,1.218,1.575,,,
2030-01-01,1.752,1.595,0.815,2.286,1.05,1.584,1.198,0.919,1.414,1.165,1.864,1.655,1.964,,,
2035-01-01,2.257,2.005,1.033,2.606,1.442,1.815,1.232,1.183,1.677,1.396,2.365,2.062,2.398,,,
2040-01-01,2.778,2.227,1.225,2.91,1.873,2.166,1.609,1.471,1.814,1.551,2.676,2.346,2.754,,,
2045-01-01,3.166,2.608,1.597,3.086,2.384,2.575,1.932,1.698,2.092,1.803,2.862,2.526,3.138,,,
2050-01-01,3.565,3.207,1.841,3.334,2.663,2.985,2.325,1.956,2.34,2.127,2.961,2.826,3.555,,,
