,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
2005-01-01,-0.455,-0.106,0.177,-0.604,-0.869,-0.073,-1.343,-0.515,-0.203,0.367,-1.412,-0.296,-0.46,-0.094,,
2010-01-01,-0.038,0.578,0.192,-0.196,-0.105,-0.138,-0.139,-0.083,-0.095,-0.13,0.304,-0.03,-0.427,0.146,,
2015-01-01,0.493,-0.472,-0.368,0.799,0.975,0.211,1.481,0.598,0.298,-0.237,1.108,0.326,0.887,-0.051,,
2020-01-01,0.41,-0.57,-0.244,1.657,0.521,0.951,2.046,0.019,1.068,0.727,0.737,-0.133,2.647,,,
2025-01-01,0.611,-0.026,-0.287,0.811,-0.527,1.65,1.979,-0.242,0.92,0.397,2.262,0.578,2.701,,,
2030-01-01,0.553,0.156,-0.621,0.75,0.085,1.348,1.566,0.83,1.222,1.237,3.154,0.687,1.326,,,
2035-01-01,0.76,0.166,-0.088,0.622,0.919,1.174,1.126,0.731,1.378,1.447,2.662,-0.056,1.042,,,
2040-01-01,0.755,0.714,0.666,0.896,1.25,1.917,1.124,0.161,0.978,0.919,2.169,0.412,1.985,,,
2045-01-01,0.781,0.66,0.723,1.468,0.227,0.92,1.723,0.626,1.074,1.856,2.452,0.142,2.74,,,
2050-01-01,0.722,0.351,0.856,0.659,-0.709,0.944,1.479,0.753,1.121,2.018,3.176,-0.463,3.415,,,
2055-01-01,0.273,0.715,-0.011,1.037,-1.135,1.706,0.936,0.746,1.148,1.083,2.563,-0.276,2.88,,,
