,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,18.994,18.931,18.624,18.703,17.982,18.49,18.92,19.547,18.275,17.424,18.334,,17.87,
1990-01-01,,,18.362,18.776,18.624,18.668,18.405,18.49,18.92,19.547,18.074,18.941,18.292,,18.659,
1995-01-01,,,19.155,18.522,18.193,18.89,19.524,19.088,18.353,18.114,18.074,18.941,19.078,,19.329,
2000-01-01,,,19.155,17.892,19.08,18.89,19.524,19.088,19.017,18.608,19.278,19.269,19.078,,19.329,
2005-01-01,,,18.828,18.175,19.08,18.981,18.248,18.6,19.017,18.608,19.991,19.269,18.439,,18.506,
2010-01-01,,,18.753,19.852,19.199,18.981,19.158,19.122,18.922,18.593,19.991,19.078,19.39,,18.972,
2015-01-01,,,18.753,19.852,19.199,18.887,19.158,19.122,18.85,18.982,18.317,19.078,19.39,,19.336,
2020-01-01,19.533,18.946,19.514,19.065,18.934,20.073,19.788,18.853,18.784,18.982,18.771,19.339,19.247,,,
2025-01-01,19.533,19.795,19.514,19.334,19.531,20.336,19.788,19.091,19.067,18.678,19.544,19.339,21.018,,,
2030-01-01,19.632,19.796,19.652,19.887,19.698,20.336,19.597,19.244,19.067,18.986,19.743,20.426,21.018,,,
2035-01-01,19.632,20.454,20.49,21.416,19.698,20.102,19.597,19.244,19.988,19.348,20.651,20.426,20.387,,,
2040-01-01,20.263,20.454,20.49,21.506,19.773,20.676,19.499,19.628,19.988,19.348,20.743,19.086,20.484,,,
2045-01-01,20.947,19.787,19.732,21.506,20.138,20.676,20.144,19.628,19.462,19.084,20.994,19.782,20.484,,,
2050-01-01,20.947,20.391,20.51,20.924,20.287,20.325,20.144,19.827,20.198,19.719,20.994,21.492,20.915,,,
2055-01-01,19.529,20.391,20.51,19.938,20.703,21.064,20.332,19.827,20.521,19.719,20.42,21.492,21.854,,,
