,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,35.375,34.895,35.221,36.871,36.657,34.452,35.499,35.608,36.201,35.805,35.002,,36.917,
1990-01-01,,,35.375,37.736,35.016,35.603,36.657,33.966,36.036,35.608,36.201,35.975,34.701,,35.343,
1995-01-01,,,36.314,37.736,35.381,35.603,35.972,37.497,36.744,36.053,35.848,35.975,35.268,,35.886,
2000-01-01,,,37.209,36.651,35.952,36.744,35.972,37.498,36.744,36.173,36.715,34.748,37.203,,35.886,
2005-01-01,,,37.209,36.651,36.598,36.871,34.462,37.498,37.693,37.459,36.715,37.456,37.523,,36.172,
2010-01-01,,,37.021,36.193,38.549,36.871,37.773,37.178,37.693,37.459,36.597,37.654,37.785,,37.532,
2015-01-01,,,36.764,35.406,38.549,36.703,37.773,37.178,34.86,36.906,36.991,37.654,37.785,,37.532,
2020-01-01,36.016,37.326,35.361,35.378,37.493,36.703,34.829,37.431,36.567,37.773,37.986,36.148,38.676,,,
2025-01-01,38.85,37.326,35.44,38.631,36.368,36.526,36.735,37.431,38.642,38.712,37.986,36.437,38.676,,,
2030-01-01,38.85,37.055,37.29,38.631,37.053,37.453,37.784,36.723,40.354,38.712,37.927,37.366,37.816,,,
2035-01-01,38.488,39.204,37.29,37.673,37.251,37.453,38.821,36.627,40.354,38.597,37.783,37.366,39.421,,,
2040-01-01,37.272,39.204,37.449,36.539,39.03,37.858,38.821,37.204,41.016,36.943,37.783,37.707,43.66,,,
2045-01-01,37.272,38.308,37.963,37.037,39.03,37.858,37.609,37.945,41.016,38.779,37.39,39.01,43.66,,,
2050-01-01,37.487,38.033,37.963,37.037,37.994,38.464,38.359,37.945,37.271,38.779,37.197,39.01,39.082,,,
2055-01-01,40.489,38.267,38.511,38.449,38.352,41.082,38.359,37.923,40.083,38.426,39.869,37.783,41.054,,,
