,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.048,0.035,0.25,0.27,-0.06,-0.105,-0.18,-0.648,-0.168,0.468,-0.006,-0.055,1.211,,0.482,
1995-01-01,0.14,0.164,0.278,0.16,0.185,-0.051,-0.028,0.012,-0.169,0.557,0.001,-0.106,0.412,,0.843,
2000-01-01,0.044,-0.013,-0.135,0.054,0.082,-0.023,0.214,0.183,-0.01,-0.358,0.18,0.247,0.019,,0.228,
2005-01-01,-0.08,-0.185,-0.392,-0.136,-0.157,0.178,0.046,0.036,-0.129,-0.324,-0.117,0.002,-0.266,,-0.555,
2010-01-01,0.006,,,-0.064,-0.089,,-0.032,0.377,0.116,0.391,-0.004,0.141,-0.691,,-0.999,
2015-01-01,-0.061,,,-0.283,0.04,,-0.019,0.04,0.361,-0.735,-0.055,-0.23,-0.685,,,
2020-01-01,-0.067,,,-0.103,0.349,,-0.294,0.426,-0.011,-0.343,-0.174,-0.137,-0.775,,,
2025-01-01,-0.136,,,-0.19,0.559,,-0.051,0.38,-0.242,-0.716,0.022,-0.451,-1.084,,,
2030-01-01,-0.564,,,-0.433,0.344,,0.092,0.636,-0.548,-1.583,-0.101,-1.101,-1.192,,,
2035-01-01,-0.732,,,0.017,-0.221,,-0.063,1.492,-0.844,-1.339,-0.044,-0.778,-1.094,,,
2040-01-01,-0.94,,,0.103,-0.722,,-0.073,0.444,-0.287,-1.652,-0.134,-1.383,-1.316,,,
2045-01-01,-0.69,,,-0.045,-0.574,,-0.423,0.172,0.623,-2.125,0.136,-0.945,-1.418,,,
2050-01-01,-0.426,,,0.087,-0.233,,-0.727,0.209,0.801,-2.432,0.173,-1.026,-1.357,,,
