,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.598,-0.607,-0.703,-0.387,-0.632,-0.626,-0.243,-0.37,-0.695,-0.348,-0.632,-0.388,-0.694,,-0.328,
1995-01-01,-0.136,-0.515,-0.231,-0.305,-0.317,-0.386,-0.165,-0.313,-0.465,-0.097,-0.374,-0.059,-0.424,,-0.107,
2000-01-01,-0.106,-0.161,-0.067,-0.151,-0.025,-0.096,-0.01,-0.137,-0.072,0.056,-0.145,-0.045,-0.213,,0.006,
2005-01-01,0.144,0.165,0.196,-0.0,0.15,0.154,-0.023,0.082,0.206,0.023,0.109,-0.211,0.164,,0.102,
2010-01-01,0.296,0.459,0.325,0.224,0.391,0.367,0.166,0.265,0.42,0.123,0.447,0.28,0.372,,0.326,
2015-01-01,0.4,0.659,0.48,0.62,0.433,0.587,0.274,0.473,0.606,0.244,0.596,0.423,0.795,,,
2020-01-01,0.729,0.736,0.609,1.031,0.781,0.782,0.516,0.781,0.799,0.355,0.904,0.795,1.197,,,
2025-01-01,1.094,0.758,0.558,1.589,1.098,1.187,0.717,1.095,1.062,0.609,1.227,1.114,1.643,,,
2030-01-01,1.409,0.924,0.687,1.932,1.237,1.468,0.843,1.394,1.397,0.762,1.394,1.245,2.051,,,
2035-01-01,1.733,1.18,0.716,2.309,1.627,1.731,1.294,1.699,1.566,0.935,1.689,1.649,2.52,,,
2040-01-01,2.039,1.656,0.912,2.655,1.715,2.037,1.325,1.828,1.798,1.116,1.823,2.132,3.073,,,
2045-01-01,2.474,2.074,1.375,2.854,2.022,2.355,1.508,1.827,1.959,1.329,1.929,2.394,3.526,,,
2050-01-01,2.86,2.491,1.813,3.083,2.448,2.596,1.84,2.055,2.237,1.565,2.201,2.753,4.067,,,
