,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.926,0.04,0.246,0.253,1.215,0.633,-0.149,-0.254,0.96,1.37,2.415,0.553,-0.428,,-0.725,
1995-01-01,0.486,1.357,0.132,0.337,0.456,0.357,-0.347,0.618,-0.204,-0.189,0.855,0.421,-0.126,,-1.127,
2000-01-01,0.823,1.239,0.197,-0.53,-0.038,0.749,0.104,0.331,-1.213,-0.127,0.122,0.129,0.595,,-0.019,
2005-01-01,1.303,-0.156,-0.185,0.068,-0.079,-0.111,0.222,0.348,0.128,-0.495,-0.324,0.199,0.06,,1.27,
2010-01-01,0.318,-1.177,-0.019,0.492,-0.443,-0.735,-0.329,-0.073,-0.305,-0.321,-1.57,-0.554,0.097,,0.601,
2015-01-01,-2.004,-1.302,-0.371,-0.62,-1.111,-0.892,0.499,-0.969,0.635,-0.237,-1.499,-0.748,-0.199,,,
2020-01-01,-2.616,-1.391,-0.73,-0.739,-0.967,-1.964,-0.726,-0.418,1.574,-0.932,-1.619,-0.917,-0.619,,,
2025-01-01,-3.293,-2.203,-0.416,-1.192,-1.609,-2.295,-1.004,-0.18,1.187,0.203,-1.821,-0.862,-0.886,,,
2030-01-01,-2.879,-1.82,-0.692,-1.65,-2.392,-3.09,-1.035,-0.599,0.784,0.013,-2.103,0.116,-1.69,,,
2035-01-01,-1.667,-2.404,-1.52,-1.024,-2.177,-3.037,-2.76,-1.348,1.41,0.147,-3.248,0.602,-2.42,,,
2040-01-01,-1.019,-3.215,-1.877,-1.019,-2.539,-3.808,-2.328,-1.187,-0.328,0.237,-3.634,-0.85,-3.294,,,
2045-01-01,-1.303,-2.237,-2.621,-1.094,-2.83,-3.802,-2.333,-0.509,-1.284,-0.578,-3.548,-0.319,-2.558,,,
2050-01-01,-1.559,-1.937,-3.084,-0.966,-2.786,-4.167,-1.986,-0.847,-1.158,-0.791,-3.928,-0.252,-3.501,,,
