,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,18.977,18.926,18.624,18.708,17.982,18.49,18.608,19.501,18.149,17.424,18.163,,17.87,
1990-01-01,,,18.344,18.77,18.624,18.673,18.405,18.49,18.608,19.501,17.947,18.941,18.121,,18.659,
1995-01-01,,,19.138,18.517,18.193,18.895,19.524,19.088,18.041,18.068,17.947,18.941,18.907,,19.329,
2000-01-01,,,19.138,17.886,19.08,18.895,19.524,19.088,18.705,18.562,19.151,19.269,18.907,,19.329,
2005-01-01,,,18.811,18.17,19.08,18.986,18.248,18.6,18.705,18.562,19.865,19.269,18.268,,18.506,
2010-01-01,,,18.735,19.846,19.199,18.986,19.158,19.122,18.61,18.547,19.865,19.078,19.22,,18.972,
2015-01-01,,,,19.885,19.199,,19.158,19.122,20.723,19.26,19.076,19.078,20.414,,19.336,
2020-01-01,19.78,,,19.885,19.107,,19.203,19.014,20.723,19.26,19.076,18.734,20.414,,,
2025-01-01,18.878,,,19.907,18.999,,19.203,19.56,19.413,18.488,20.246,19.326,18.573,,,
2030-01-01,19.139,,,19.907,20.135,,18.595,19.56,19.421,18.536,20.246,19.326,20.529,,,
2035-01-01,19.688,,,20.099,20.135,,19.576,18.765,19.663,19.38,20.189,19.767,20.529,,,
2040-01-01,20.54,,,20.099,20.115,,19.576,20.144,19.663,19.819,20.016,19.767,20.086,,,
2045-01-01,20.54,,,19.718,19.933,,18.678,21.086,19.411,19.819,20.016,19.576,19.9,,,
2050-01-01,19.749,,,20.092,19.973,,19.046,21.086,19.311,19.313,19.649,19.59,20.266,,,
2055-01-01,20.093,,,21.129,22.129,,19.046,20.096,20.79,20.526,20.954,21.106,20.642,,,
