,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.05,-0.167,0.706,1.247,0.604,1.524,0.161,-1.042,1.099,0.45,0.422,1.001,0.843,,0.126,
1995-01-01,0.223,0.476,0.255,1.452,0.339,1.033,0.316,0.02,1.117,0.324,-0.439,-0.117,0.504,,0.136,
2000-01-01,0.518,-0.064,-0.112,0.282,-0.278,0.425,0.624,-0.699,0.395,0.354,-0.528,-0.116,0.361,,-0.097,
2005-01-01,0.334,-0.243,-0.464,-0.422,-0.211,-0.033,0.543,-0.1,0.738,0.572,-0.249,0.022,-0.553,,-0.092,
2010-01-01,-0.246,0.003,-0.178,-0.983,-0.213,-0.895,-0.221,1.181,-1.213,-0.213,0.132,-0.656,-0.405,,-0.073,
2015-01-01,-0.879,-0.005,-0.207,-1.575,-0.241,-2.056,-1.423,0.641,-2.136,-1.486,0.662,-0.135,-0.749,,,
2020-01-01,-1.016,0.102,-0.896,-1.832,-0.422,-2.74,-2.088,1.165,-1.547,-1.997,0.474,-0.82,-0.634,,,
2025-01-01,-0.693,-0.707,-1.621,-2.734,-1.32,-3.335,-2.308,0.633,-2.326,-2.444,0.098,-0.614,0.289,,,
2030-01-01,-0.646,-0.651,-3.427,-3.568,-2.247,-4.065,-2.163,-0.153,-0.776,-2.326,-0.816,-0.12,0.14,,,
2035-01-01,-1.178,-0.701,-4.733,-4.261,-3.221,-4.49,-2.253,0.325,-0.824,-1.676,-1.343,0.011,0.555,,,
2040-01-01,-1.821,-1.124,-6.445,-5.091,-4.586,-5.125,-2.887,-0.158,-2.087,-1.911,-1.361,0.414,0.145,,,
2045-01-01,-2.047,-0.828,-7.816,-5.309,-5.951,-5.803,-3.639,-0.002,-2.169,-2.658,-1.272,0.004,0.013,,,
2050-01-01,-1.866,-1.5,-8.002,-5.807,-6.904,-6.107,-4.819,-0.228,-3.526,-3.376,-1.044,-0.294,-0.098,,,
