,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,1.572,1.029,0.089,-0.588,0.427,0.096,0.585,0.034,0.365,0.591,0.811,0.588,1.369,,0.079,
1995-01-01,1.006,0.587,-0.7,-0.593,0.731,0.308,0.719,-0.061,0.441,0.492,0.743,0.132,0.568,,0.153,
2000-01-01,0.285,0.213,-0.716,-0.002,0.226,0.132,-0.109,0.58,0.604,-0.329,0.075,0.04,-0.397,,0.149,
2005-01-01,-0.467,-0.336,0.258,-0.307,-0.512,-0.074,0.124,0.381,-0.098,-0.763,-0.482,-0.126,-0.557,,0.062,
2010-01-01,-1.262,-0.619,0.344,0.631,-0.565,-0.054,-0.402,-0.769,-0.346,0.018,-0.687,-0.462,-0.438,,-0.443,
2015-01-01,-1.134,-0.874,0.726,0.86,-0.308,-0.408,-0.917,-0.165,-0.966,-0.009,-0.461,-0.171,-0.545,,,
2020-01-01,-0.972,-0.826,0.682,0.749,0.692,-0.156,-0.62,-0.908,-1.637,0.257,-0.514,-0.654,-0.8,,,
2025-01-01,-0.957,-0.689,0.317,-0.248,0.993,-0.381,-0.48,-1.6,-2.186,-0.114,-0.282,-0.755,-2.144,,,
2030-01-01,-1.252,-1.114,0.986,-1.189,0.717,-0.707,0.26,-1.071,-2.052,-0.055,-0.203,-1.145,-3.77,,,
2035-01-01,-2.127,-1.189,1.245,-1.692,0.113,-1.225,0.829,-1.896,-2.07,-0.634,-0.025,-1.271,-4.296,,,
2040-01-01,-2.79,-0.987,1.547,-1.504,-0.371,-1.552,0.903,-2.184,-2.492,-0.952,0.047,-1.07,-4.209,,,
2045-01-01,-2.97,-1.272,1.375,-0.443,-0.105,-1.953,0.787,-1.951,-1.978,-1.229,0.089,-1.408,-4.763,,,
2050-01-01,-2.894,-1.145,1.008,0.071,-0.288,-2.104,0.504,-2.265,-2.268,-1.484,0.448,-1.64,-5.049,,,
