,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.59,-0.528,-0.513,-0.58,-0.435,-0.599,-0.342,-0.264,-0.267,-0.391,-0.573,-0.505,-0.47,,-0.176,
1995-01-01,-0.294,-0.31,-0.217,-0.341,-0.262,-0.483,-0.363,-0.078,-0.193,-0.286,-0.455,-0.271,-0.34,,-0.106,
2000-01-01,-0.059,-0.1,-0.058,-0.195,-0.034,-0.207,-0.201,-0.006,-0.074,-0.06,-0.114,-0.03,-0.126,,-0.026,
2005-01-01,0.128,0.09,0.151,0.063,0.172,0.105,-0.009,0.033,0.083,0.047,0.182,0.117,0.121,,0.042,
2010-01-01,0.339,0.315,0.321,0.397,0.273,0.404,0.299,0.105,0.164,0.261,0.392,0.309,0.358,,0.267,
2015-01-01,0.476,0.532,0.316,0.655,0.285,0.781,0.615,0.209,0.287,0.43,0.568,0.381,0.456,,,
2020-01-01,0.589,0.722,0.443,0.908,0.435,0.961,0.723,0.219,0.413,0.577,0.608,0.446,0.508,,,
2025-01-01,0.777,0.873,0.618,1.001,0.511,1.18,0.783,0.279,0.599,0.907,0.878,0.642,0.638,,,
2030-01-01,0.907,1.084,0.703,1.037,0.599,1.376,0.784,0.452,0.718,0.97,1.232,0.793,0.804,,,
2035-01-01,0.974,1.313,0.949,1.147,0.832,1.474,0.73,0.553,0.802,1.074,1.515,1.041,1.051,,,
2040-01-01,1.051,1.468,1.136,1.326,0.902,1.568,0.877,0.606,0.886,1.118,1.771,1.234,1.304,,,
2045-01-01,1.145,1.551,1.179,1.473,0.969,1.681,1.002,0.734,0.889,1.159,1.992,1.41,1.465,,,
2050-01-01,1.256,1.638,1.296,1.689,1.106,1.884,1.102,0.788,0.85,1.195,2.066,1.485,1.623,,,
