,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.624,0.964,0.745,0.261,0.205,-0.314,0.741,0.443,0.105,0.833,0.598,-0.043,1.009,,1.514,
1995-01-01,0.5,0.288,-0.177,-0.182,0.468,0.165,0.563,-0.107,0.226,0.427,0.303,-0.183,0.558,,0.711,
2000-01-01,0.163,0.036,-0.335,0.205,0.059,0.224,-0.118,-0.089,0.266,-0.313,0.24,0.229,-0.05,,-0.005,
2005-01-01,-0.251,-0.33,-0.153,-0.418,-0.087,0.049,-0.31,-0.232,-0.079,-0.507,-0.414,-0.131,-0.199,,-0.724,
2010-01-01,-0.63,-0.484,-0.358,-0.11,-0.282,0.038,-0.357,-0.488,-0.031,-0.364,-0.474,0.068,-0.382,,-1.496,
2015-01-01,-0.407,-0.474,0.278,0.244,-0.362,-0.161,-0.519,0.474,-0.488,-0.075,-0.253,0.059,-0.936,,,
2020-01-01,-0.137,-0.385,0.133,-0.014,-0.07,-0.384,-0.371,0.058,-0.942,0.095,-0.67,-0.677,-1.167,,,
2025-01-01,-0.259,-0.257,-0.058,-1.005,-0.382,-0.641,-0.555,-0.256,-1.672,-0.177,-0.642,-0.746,-1.989,,,
2030-01-01,-0.312,-0.548,0.164,-1.684,-0.283,-0.445,-0.511,0.015,-2.027,-0.26,-0.823,-1.042,-2.899,,,
2035-01-01,-0.988,-0.563,0.295,-2.272,-0.932,-0.81,-0.416,-0.743,-2.671,-0.614,-0.917,-1.119,-2.771,,,
2040-01-01,-1.472,-0.443,0.193,-2.409,-0.812,-0.491,-0.423,-0.675,-2.862,-0.841,-0.851,-0.468,-2.655,,,
2045-01-01,-1.34,-0.545,-0.029,-1.504,-0.403,-0.434,-0.579,-0.888,-2.436,-1.038,-1.118,-0.759,-3.466,,,
2050-01-01,-1.306,-0.274,-0.209,-1.402,-0.739,-0.842,-0.705,-1.233,-2.568,-1.04,-1.025,-0.989,-3.272,,,
