,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,1.998,0.694,-0.879,3.538,-2.789,-1.001,1.499,-1.017,-1.043,0.416,-0.32,-2.108,4.385,,,-1.479
1995-01-01,1.991,-1.973,-0.266,1.498,2.512,1.485,5.23,0.191,-1.611,2.489,-0.638,1.054,-0.221,,,1.722
2000-01-01,-0.468,-1.422,0.306,2.166,3.022,-1.468,1.739,-1.045,0.4,-0.274,2.338,1.037,-1.594,,,2.006
2005-01-01,-4.592,2.701,0.839,-2.464,-0.754,0.984,-5.398,-0.787,-0.855,0.89,-0.711,-0.785,-0.651,,,-4.374
2010-01-01,-0.721,,,-0.574,-0.809,,-0.927,0.485,1.915,0.668,0.061,2.659,0.08,,,2.125
2015-01-01,1.792,,,-4.163,-1.183,,-2.143,2.172,1.193,-4.19,-0.73,-1.857,-1.999,,,
2020-01-01,4.269,,,-1.228,3.094,,-4.908,5.643,-0.226,-5.238,-1.569,7.526,0.83,,,
2025-01-01,4.567,,,1.993,6.839,,0.022,4.249,-0.556,-7.574,0.688,5.872,-0.143,,,
2030-01-01,2.072,,,-0.134,8.45,,1.604,7.849,-3.371,-8.051,0.378,6.373,-1.899,,,
2035-01-01,2.593,,,4.04,5.224,,0.465,3.831,-5.348,-4.753,-0.332,8.497,0.767,,,
2040-01-01,4.086,,,5.803,-0.855,,3.36,-1.52,-3.59,-6.008,0.251,-1.076,-2.111,,,
2045-01-01,8.971,,,0.286,0.324,,-3.405,-4.677,1.337,-8.487,-0.464,2.455,-2.161,,,
2050-01-01,12.704,,,-0.423,-3.079,,-8.273,-6.249,2.527,-11.787,-3.454,-2.849,-2.394,,,
