,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-1.234,-0.381,-0.506,3.703,-2.307,-1.893,-0.079,-0.792,-0.013,0.386,-0.311,-2.715,3.471,,,-0.478
1995-01-01,1.041,-0.257,0.403,1.847,1.552,0.641,2.995,1.363,-1.121,2.031,-0.788,0.041,-1.476,,,0.99
2000-01-01,-0.539,-0.985,-0.094,1.49,1.229,-1.044,1.845,-0.769,-0.186,-0.905,1.329,1.031,-1.198,,,1.434
2005-01-01,-2.032,1.623,0.198,-2.672,-0.527,2.296,-2.378,-1.288,-1.443,-0.476,-0.755,0.19,-0.497,,,-3.502
2010-01-01,1.002,,,-0.74,-0.345,,-0.635,0.699,1.266,1.713,0.526,2.459,-0.628,,,1.556
2015-01-01,1.761,,,-3.628,0.398,,-1.747,0.786,1.497,-2.749,-0.001,-1.006,0.328,,,
2020-01-01,3.406,,,-0.857,5.199,,-3.57,3.98,0.737,-1.523,0.027,5.487,2.38,,,
2025-01-01,2.916,,,2.478,8.301,,0.28,3.697,-0.019,-3.189,2.484,3.083,1.868,,,
2030-01-01,-0.483,,,1.735,9.023,,2.336,6.911,-3.373,-4.511,2.312,1.916,1.092,,,
2035-01-01,0.228,,,5.972,7.073,,0.902,6.582,-5.304,-2.252,2.559,4.417,4.005,,,
2040-01-01,1.239,,,5.959,2.191,,2.144,1.251,-3.097,-3.101,1.847,-2.557,1.966,,,
2045-01-01,7.075,,,1.804,2.908,,-2.374,-0.744,0.861,-4.381,1.688,1.535,2.008,,,
2050-01-01,11.197,,,0.032,1.873,,-5.376,-3.003,2.635,-6.294,0.731,-1.755,2.768,,,
