,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,1.368,0.86,-0.055,0.26,0.592,0.042,0.551,0.057,0.576,0.79,0.486,0.83,1.926,,0.132,
1995-01-01,1.01,0.631,-0.419,0.116,0.87,0.389,0.82,-0.104,0.752,0.826,0.49,0.492,0.825,,0.408,
2000-01-01,0.161,0.239,-0.546,0.263,0.43,0.138,0.212,0.327,0.825,-0.25,0.236,0.189,-0.15,,0.332,
2005-01-01,-0.353,-0.35,0.085,-0.358,-0.303,-0.115,0.015,0.296,-0.163,-0.679,-0.253,-0.319,-0.492,,-0.21,
2010-01-01,-1.111,-0.523,0.489,-0.142,-0.823,-0.012,-0.499,-0.778,-0.626,-0.166,-0.44,-0.708,-1.018,,-0.662,
2015-01-01,-1.075,-0.857,0.446,-0.14,-0.767,-0.442,-1.097,0.202,-1.365,-0.522,-0.518,-0.483,-1.091,,,
2020-01-01,-0.771,-0.885,0.326,-0.067,0.085,-0.601,-0.829,-0.338,-1.829,0.143,-0.807,-0.91,-1.324,,,
2025-01-01,-0.823,-0.72,0.153,-0.7,0.688,-0.927,-0.803,-1.156,-2.013,-0.689,-0.941,-0.956,-2.369,,,
2030-01-01,-0.679,-1.267,0.635,-1.21,0.495,-1.287,-0.357,-0.478,-1.829,-0.821,-0.892,-1.377,-3.559,,,
2035-01-01,-1.414,-1.386,1.296,-1.467,0.096,-1.808,-0.215,-1.45,-1.647,-1.486,-0.469,-1.679,-3.928,,,
2040-01-01,-2.171,-1.334,1.798,-1.368,-0.447,-1.954,-0.221,-2.016,-1.929,-2.093,-0.601,-1.292,-4.004,,,
2045-01-01,-2.482,-1.701,1.501,-0.522,-0.383,-2.233,-0.623,-1.825,-1.554,-2.006,-0.369,-1.715,-4.766,,,
2050-01-01,-2.988,-1.671,1.205,-0.082,-0.268,-2.69,-0.555,-2.145,-1.42,-1.991,-0.104,-1.953,-5.301,,,
