,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
2005-01-01,0.302,-1.074,-0.891,0.185,-1.026,-0.407,-0.614,-0.563,-0.213,0.302,-2.12,-0.388,0.275,0.204,,
2010-01-01,-0.124,0.689,0.139,0.068,0.737,0.052,-0.495,-0.252,-0.298,0.092,0.016,-0.01,-1.116,-0.188,,
2015-01-01,-0.178,0.384,0.752,-0.253,0.288,0.355,1.109,0.816,0.511,-0.394,2.104,0.398,0.841,-0.015,,
2020-01-01,0.612,-0.354,1.663,0.392,-0.686,1.776,2.074,-0.103,0.574,1.223,1.665,-0.159,3.208,,,
2025-01-01,0.659,-0.092,2.624,-0.533,-1.42,2.848,1.808,-0.665,0.186,1.108,2.271,0.924,2.586,,,
2030-01-01,0.234,0.457,1.729,0.389,-1.23,2.712,2.092,0.482,0.612,2.251,2.932,1.332,1.494,,,
2035-01-01,0.218,0.5,0.587,1.995,0.032,2.843,2.071,0.985,0.239,2.792,2.997,0.387,1.261,,,
2040-01-01,0.656,0.109,1.368,1.454,-0.58,2.77,1.545,0.581,0.281,1.831,3.191,0.445,1.656,,,
2045-01-01,1.219,0.035,1.458,0.319,-1.345,2.144,2.351,0.252,0.62,1.901,3.328,0.074,1.959,,,
2050-01-01,1.18,0.566,1.251,0.116,-1.403,1.56,2.59,0.651,0.728,2.562,2.986,0.189,3.171,,,
2055-01-01,0.541,0.744,0.797,0.439,-2.343,1.701,2.172,0.927,0.257,1.172,2.831,0.32,4.284,,,
