,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,413.779,376.475,431.545,348.526,325.957,355.996,387.773,379.955,351.9,438.311,426.463,404.424,361.46,,,370.651
1990-01-01,416.883,415.653,305.248,407.015,380.005,355.996,376.11,379.955,387.145,445.577,392.542,400.455,361.46,,,370.651
1995-01-01,421.095,419.128,305.248,381.738,467.022,402.586,376.11,420.484,433.985,283.407,333.688,400.455,379.65,,,444.499
2000-01-01,436.674,439.466,377.644,381.738,433.735,402.586,380.04,389.176,433.985,283.407,333.688,386.647,392.943,,,398.056
2005-01-01,383.874,428.919,398.02,396.047,387.535,406.025,380.04,389.176,440.139,383.917,465.947,386.647,392.943,,,398.056
2010-01-01,379.385,420.617,506.764,424.605,387.535,407.538,432.101,423.769,391.182,460.227,405.974,392.825,414.527,,,391.181
2015-01-01,379.385,420.617,439.806,424.605,382.487,433.55,432.101,381.76,325.938,469.429,405.974,392.825,461.292,,,391.181
2020-01-01,384.588,410.14,439.806,447.516,382.487,433.55,443.263,381.76,325.938,439.156,422.651,463.068,359.255,,,
2025-01-01,428.577,410.14,468.429,447.516,460.106,450.413,438.29,434.497,412.811,439.156,463.169,387.52,359.255,,,
2030-01-01,413.674,328.784,433.258,434.434,375.453,463.005,386.713,370.651,412.811,421.996,498.706,387.52,339.451,,,
2035-01-01,413.674,328.784,433.258,434.434,372.729,433.195,386.713,370.651,424.781,421.996,477.536,432.355,320.042,,,
2040-01-01,389.886,428.551,474.492,427.112,372.729,356.145,492.944,384.697,429.661,332.489,477.536,432.355,320.042,,,
2045-01-01,389.886,432.199,474.492,411.483,391.244,356.145,483.471,384.697,406.45,332.489,523.179,440.845,420.571,,,
2050-01-01,429.291,425.234,526.118,411.483,485.084,356.183,420.688,389.555,406.45,412.089,438.303,421.314,386.968,,,
2055-01-01,429.291,425.234,526.118,537.012,384.336,386.625,420.688,408.186,438.699,430.285,438.303,421.314,386.968,,,
