,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,-26.92,-25.46,-25.148,-24.397,-24.79,-25.26,-26.978,-23.86,-25.408,-25.476,-27.338,,-26.189,
1990-01-01,,,-25.446,-26.088,-25.233,-24.397,-24.82,-23.359,-26.978,-22.821,-24.693,-25.476,-25.677,,-27.828,
1995-01-01,,,-25.259,-26.088,-25.233,-23.29,-25.278,-24.912,-22.892,-22.654,-23.416,-25.279,-25.677,,-27.828,
2000-01-01,,,-25.259,-25.241,-23.615,-26.054,-25.938,-24.912,-23.29,-22.654,-23.416,-21.194,-23.705,,-22.144,
2005-01-01,,,-22.468,-25.241,-24.365,-26.054,-25.938,-22.55,-25.191,-26.337,-22.476,-24.616,-23.705,,-21.141,
2010-01-01,,,-22.468,-20.097,-24.365,-22.446,-20.244,-23.25,-25.191,-26.337,-24.838,-24.616,-21.234,,-21.66,
2015-01-01,,,-21.264,-20.87,-21.125,-22.446,-22.078,-24.841,-18.565,-24.421,-24.838,-22.429,-21.748,,-22.295,
2020-01-01,-25.142,-20.946,-28.426,-23.647,-24.59,-21.929,-22.078,-24.841,-18.565,-22.522,-19.809,-21.611,-21.748,,,
2025-01-01,-25.142,-19.693,-28.426,-23.647,-24.59,-21.036,-20.331,-23.818,-21.664,-24.112,-19.027,-19.316,-20.299,,,
2030-01-01,-19.959,-19.705,-20.934,-21.654,-23.509,-21.036,-20.331,-16.153,-21.664,-24.112,-20.425,-18.651,-15.87,,,
2035-01-01,-19.915,-22.238,-20.66,-21.654,-23.509,-19.164,-19.276,-23.9,-23.006,-23.683,-20.425,-17.602,-17.453,,,
2040-01-01,-19.915,-22.238,-21.138,-17.3,-20.526,-21.917,-19.673,-23.9,-23.006,-23.683,-17.639,-17.602,-17.453,,,
2045-01-01,-18.367,-19.122,-21.138,-17.3,-18.54,-21.917,-19.673,-15.365,-20.168,-22.014,-17.639,-17.055,-17.031,,,
2050-01-01,-16.406,-19.122,-18.978,-20.331,-18.483,-19.949,-16.239,-18.448,-18.171,-19.109,-14.03,-17.055,-17.436,,,
2055-01-01,-16.39,-18.172,-18.766,-20.331,-16.706,-16.045,-15.58,-18.448,-17.535,-19.109,-18.017,-15.012,-17.436,,,
