,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.098,-0.134,0.415,0.449,0.136,0.282,0.138,-0.826,0.021,0.617,-0.045,-0.072,1.359,,0.814,
1995-01-01,0.2,-0.001,0.426,0.421,0.362,0.295,0.114,0.188,-0.057,0.626,0.043,-0.076,0.554,,1.055,
2000-01-01,0.132,-0.077,-0.063,0.014,0.175,0.024,0.205,0.373,0.353,-0.346,0.193,0.529,0.357,,0.075,
2005-01-01,-0.219,-0.147,-0.501,-0.133,0.009,-0.117,-0.02,0.214,0.317,-0.258,-0.198,0.046,0.094,,-0.675,
2010-01-01,-0.194,0.172,-0.077,-0.147,-0.439,-0.144,-0.171,-0.202,-0.387,-0.003,0.031,-0.427,-0.883,,-1.268,
2015-01-01,-0.016,0.187,-0.2,-0.603,-0.243,-0.341,-0.266,0.254,-0.247,-0.635,-0.024,0.001,-1.482,,,
2020-01-01,0.148,0.199,0.017,0.123,0.36,-0.511,-0.288,0.414,-0.017,-0.09,-0.232,-0.831,-2.395,,,
2025-01-01,0.339,0.315,0.223,-0.069,0.692,-0.955,-0.317,0.022,-0.581,-0.618,-0.025,-0.554,-2.722,,,
2030-01-01,0.4,-0.191,0.262,0.272,0.339,-1.426,0.006,0.606,0.105,-0.8,-0.043,-0.72,-2.421,,,
2035-01-01,0.654,-0.686,0.568,0.449,0.33,-1.391,0.164,-0.069,0.046,-0.77,0.092,-1.341,-2.245,,,
2040-01-01,-0.168,-0.597,0.393,0.349,-0.004,-1.396,0.158,-0.505,-0.219,-1.46,0.184,-0.732,-2.133,,,
2045-01-01,-0.501,-0.89,0.008,0.587,0.073,-1.348,0.265,0.013,-0.247,-1.569,0.198,-0.855,-3.338,,,
2050-01-01,-0.47,-0.943,-0.005,0.338,1.107,-1.279,0.053,-0.289,0.272,-1.33,0.213,-0.657,-3.86,,,
