,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-2.056,6.944,2.159,3.4,-0.917,-2.32,4.578,3.185,-1.346,2.437,-0.455,-3.677,3.905,,,5.984
1995-01-01,2.188,2.24,0.071,1.258,2.62,2.802,3.875,-0.737,1.527,2.4,-0.031,-0.464,5.171,,,-0.183
2000-01-01,0.384,-0.238,0.964,0.806,-0.374,2.019,-1.157,-2.468,2.907,-2.178,2.174,0.218,0.749,,,-0.186
2005-01-01,0.617,-0.591,0.119,-2.888,0.747,1.234,-4.467,-2.152,1.383,-1.957,1.007,-4.712,1.412,,,-3.011
2010-01-01,0.899,-4.068,-2.245,-3.326,-2.965,-0.474,-2.019,-0.984,0.079,-2.965,-1.826,3.002,-4.968,,,-2.604
2015-01-01,-2.031,-4.287,-1.068,0.751,0.888,-3.262,-0.81,3.156,-4.55,2.262,-0.869,5.632,-6.27,,,
2020-01-01,-1.311,-2.509,-2.162,-2.751,2.489,-3.769,-1.391,5.041,-4.936,3.95,-2.632,5.609,-3.394,,,
2025-01-01,-1.351,-4.063,-5.869,-0.614,3.069,-3.409,-2.917,2.42,-5.191,3.811,-1.887,9.624,-3.029,,,
2030-01-01,-4.078,0.029,-8.694,0.351,5.189,-5.804,-1.833,2.446,-4.536,2.945,1.4,4.108,-0.967,,,
2035-01-01,0.402,0.477,-11.834,-3.74,-1.225,-3.368,-3.237,1.007,-1.705,-1.468,1.679,-1.714,-2.554,,,
2040-01-01,1.157,0.459,-8.711,1.22,2.873,-1.258,1.174,-4.031,-1.381,-2.937,3.691,6.442,-2.399,,,
2045-01-01,2.185,6.601,-4.766,-3.11,2.049,-3.373,4.928,-3.28,-1.258,0.691,7.954,10.126,-2.198,,,
2050-01-01,2.619,5.947,-4.519,-2.489,-0.981,0.38,2.466,-4.836,-1.304,-1.073,6.8,11.479,2.369,,,
