,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,88.51,87.208,89.251,89.501,90.625,89.819,89.467,89.379,89.297,90.659,87.951,,90.675,
1990-01-01,,,88.676,89.227,89.362,90.733,90.048,91.327,89.185,89.609,88.612,90.659,87.851,,90.675,
1995-01-01,,,92.831,89.506,90.319,90.733,90.048,91.327,91.633,90.764,89.609,89.811,89.562,,89.905,
2000-01-01,,,92.831,91.551,90.402,90.053,90.627,90.925,91.633,91.788,90.484,89.811,92.175,,89.905,
2005-01-01,,,90.633,91.551,91.4,91.212,91.472,90.77,91.381,91.788,90.484,92.059,94.085,,92.637,
2010-01-01,,,91.759,93.978,92.296,91.361,92.089,90.77,91.48,91.517,93.672,92.059,94.085,,92.637,
2015-01-01,,,91.759,93.978,93.97,93.406,92.089,92.061,92.219,92.154,94.841,91.939,91.289,,90.564,
2020-01-01,91.641,93.012,89.901,92.523,93.97,93.406,95.349,92.971,92.308,92.154,94.841,92.495,92.633,,,
2025-01-01,91.641,93.671,91.474,94.09,91.438,94.411,95.349,93.445,92.764,94.479,94.823,92.495,93.364,,,
2030-01-01,92.726,93.671,91.474,94.518,91.438,95.743,94.518,93.445,94.272,94.617,94.823,92.398,94.915,,,
2035-01-01,95.167,94.437,92.082,94.518,93.441,96.38,94.518,92.256,95.439,94.617,94.389,92.709,94.915,,,
2040-01-01,95.167,94.467,94.297,92.003,94.32,96.38,93.964,94.718,95.439,94.118,94.389,92.709,96.904,,,
2045-01-01,95.369,95.162,95.607,93.12,95.097,97.168,93.964,94.718,95.268,94.118,92.997,93.584,96.904,,,
2050-01-01,95.369,95.162,95.607,95.696,95.097,97.168,93.624,94.242,94.435,93.621,93.702,94.927,97.203,,,
2055-01-01,97.096,94.595,92.562,96.402,95.45,96.662,97.007,94.076,95.54,94.234,95.36,96.24,97.203,,,
