,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,-12.26,-10.717,-10.347,-14.216,-8.878,-14.451,-12.628,-10.258,-10.493,-13.758,-8.065,,-15.469,
1990-01-01,,,-10.974,-13.747,-10.069,-14.216,-12.705,-8.451,-12.628,-11.274,-10.283,-12.966,-12.635,,-15.469,
1995-01-01,,,-12.113,-13.747,-10.151,-10.687,-12.705,-9.804,-13.056,-11.274,-8.731,-8.781,-12.635,,-8.682,
2000-01-01,,,-12.113,-12.12,-12.711,-9.9,-12.212,-13.755,-13.056,-11.161,-11.624,-11.111,-9.522,,-8.682,
2005-01-01,,,-8.43,-12.12,-12.711,-8.6,-12.212,-13.755,-8.506,-11.161,-11.624,-11.111,-11.369,,-7.63,
2010-01-01,,,-10.473,-7.193,-10.423,-9.609,-8.652,-7.974,-7.123,-10.854,-12.041,-9.554,-11.369,,-10.452,
2015-01-01,,,-10.473,-7.193,-10.423,-9.609,-9.472,-8.646,-9.838,-10.854,-12.041,-9.554,-11.241,,-10.452,
2020-01-01,-8.572,-9.082,-7.342,-9.092,-13.332,-9.436,-9.472,-12.062,-12.975,-10.092,-12.129,-8.849,-7.874,,,
2025-01-01,-9.355,-9.082,-6.051,-9.092,-15.244,-8.825,-6.427,-12.062,-12.975,-6.959,-12.129,-8.849,-7.694,,,
2030-01-01,-9.355,-8.228,-8.429,-4.962,-15.244,-11.386,-6.41,-8.358,-6.094,-11.095,-8.033,-8.946,-7.694,,,
2035-01-01,-9.018,-8.623,-8.429,-4.962,-10.858,-11.386,-6.41,-8.571,-6.094,-11.095,-9.556,-8.946,-4.472,,,
2040-01-01,-9.177,-8.623,-10.185,0.328,-10.858,-9.255,-5.458,-8.571,-16.746,-10.328,-11.052,-7.992,-1.419,,,
2045-01-01,-9.177,-6.345,-10.185,-2.821,-7.269,-9.007,-5.209,-4.945,-16.746,-10.328,-11.052,-7.992,-1.419,,,
2050-01-01,-6.556,-7.575,-4.611,-4.839,-10.079,-7.69,-5.259,-10.787,-10.154,-10.104,-9.172,-7.776,-3.062,,,
2055-01-01,-6.579,-10.232,-4.611,-4.839,-10.079,-6.972,-5.259,-10.787,-6.795,-10.584,-6.48,-7.776,-3.062,,,
