,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.695,-0.39,-0.398,-0.767,-0.497,-0.358,-0.115,-0.296,-0.3,-0.254,-0.493,-0.622,-0.692,,-0.24,
1995-01-01,-0.311,-0.173,-0.159,-0.516,-0.363,-0.209,-0.207,-0.109,-0.195,-0.275,-0.388,-0.321,-0.407,,-0.139,
2000-01-01,-0.016,0.159,0.102,-0.197,-0.117,0.139,-0.16,0.033,-0.017,-0.11,-0.192,-0.017,-0.066,,0.015,
2005-01-01,0.241,0.404,0.455,0.168,0.08,0.428,-0.017,0.125,0.121,-0.04,0.058,0.169,0.208,,0.05,
2010-01-01,0.34,,,0.449,0.393,,0.143,0.094,0.175,0.188,0.35,0.298,0.395,,0.314,
2015-01-01,0.441,,,0.864,0.503,,0.356,0.153,0.217,0.491,0.664,0.494,0.562,,,
2020-01-01,0.596,,,1.256,0.714,,0.548,0.116,0.366,0.55,0.901,0.616,0.671,,,
2025-01-01,0.89,,,1.39,0.843,,0.637,0.396,0.744,0.801,1.101,0.887,0.997,,,
2030-01-01,1.267,,,1.737,0.901,,0.749,0.565,0.923,0.835,1.199,1.141,1.333,,,
2035-01-01,1.476,,,1.936,1.29,,0.992,0.723,1.296,0.909,1.36,1.278,1.556,,,
2040-01-01,1.539,,,2.102,1.387,,1.137,1.096,1.45,1.296,1.529,1.478,1.714,,,
2045-01-01,1.61,,,2.401,1.609,,1.419,1.197,1.386,1.598,1.683,1.661,1.972,,,
2050-01-01,1.679,,,2.554,1.59,,1.761,1.429,1.548,1.895,1.946,1.898,2.16,,,
