,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,414.639,367.619,419.935,348.526,330.671,364.33,387.773,371.955,342.579,442.41,426.463,404.424,361.46,,,370.651
1990-01-01,417.744,406.796,293.637,407.015,384.72,364.33,376.11,371.955,377.824,449.676,392.542,400.455,361.46,,,370.651
1995-01-01,421.955,410.272,293.637,381.738,471.736,410.921,376.11,412.483,424.665,287.506,333.688,400.455,379.65,,,444.499
2000-01-01,437.535,430.61,366.033,381.738,438.449,410.921,380.04,381.176,424.665,287.506,333.688,386.647,392.943,,,398.056
2005-01-01,384.734,420.063,386.409,396.047,392.249,414.36,380.04,381.176,430.819,388.016,465.947,386.647,392.943,,,398.056
2010-01-01,380.245,411.761,495.153,424.605,392.249,415.872,432.101,415.768,381.862,464.326,405.974,392.825,414.527,,,391.181
2015-01-01,380.245,411.761,509.47,424.605,354.202,383.541,432.101,429.763,381.862,444.837,405.974,392.825,461.292,,,391.181
2020-01-01,413.592,417.305,420.13,442.107,354.202,383.541,334.042,390.621,392.064,399.688,475.808,440.576,465.046,,,
2025-01-01,384.101,408.814,410.712,427.677,487.815,320.211,334.042,354.783,392.064,399.688,471.211,440.576,465.046,,,
2030-01-01,384.101,403.953,410.712,427.677,427.359,320.211,378.068,354.783,420.285,409.967,471.211,450.53,378.903,,,
2035-01-01,400.235,403.953,409.448,439.692,425.162,423.896,378.068,355.117,396.94,417.541,493.985,453.643,378.903,,,
2040-01-01,400.235,430.909,409.316,474.39,425.162,363.519,455.553,355.117,396.94,415.372,468.382,406.607,443.531,,,
2045-01-01,417.616,363.46,384.684,474.39,436.952,359.034,455.553,386.218,406.378,415.372,468.382,406.607,417.476,,,
2050-01-01,417.616,363.46,384.684,480.574,444.987,359.034,463.064,386.218,403.894,311.722,485.737,473.343,417.476,,,
2055-01-01,421.174,425.034,401.729,511.26,415.872,464.186,463.148,436.841,403.894,311.722,419.19,446.319,363.93,,,
