,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,-31.973,-33.451,-31.311,-31.097,-30.712,-32.501,-33.136,-29.276,-32.913,-31.505,-34.11,,-29.893,
1990-01-01,,,-31.338,-33.451,-29.792,-31.097,-31.385,-32.501,-33.136,-29.276,-32.913,-31.012,-29.612,,-30.848,
1995-01-01,,,-31.338,-30.64,-31.861,-30.616,-31.385,-28.085,-31.951,-29.985,-27.952,-31.829,-30.533,,-32.795,
2000-01-01,,,-29.04,-29.908,-31.861,-29.963,-30.627,-28.085,-28.976,-29.985,-27.497,-31.829,-30.659,,-32.795,
2005-01-01,,,-30.109,-29.139,-30.723,-29.963,-30.407,-29.144,-29.983,-31.859,-28.994,-29.235,-30.659,,-28.217,
2010-01-01,,,-30.109,-28.165,-29.115,-28.923,-28.657,-29.144,-29.983,-31.859,-31.326,-29.235,-28.674,,-28.217,
2015-01-01,,,-29.014,-28.165,-28.259,-31.262,-29.748,-33.463,-25.757,-30.682,-31.326,-28.276,-28.674,,-30.155,
2020-01-01,-28.63,-29.332,-30.077,-27.267,-27.895,-31.262,-29.748,-33.463,-27.366,-23.248,-27.936,-25.706,-29.372,,,
2025-01-01,-27.483,-27.278,-30.077,-27.267,-28.427,-27.958,-27.635,-29.234,-28.516,-25.948,-27.826,-31.707,-30.408,,,
2030-01-01,-29.999,-27.751,-29.546,-24.689,-28.427,-27.958,-28.353,-29.234,-28.516,-25.948,-27.47,-31.707,-30.408,,,
2035-01-01,-29.999,-28.872,-25.947,-24.965,-25.022,-25.825,-28.353,-28.612,-26.636,-26.247,-24.731,-28.122,-31.424,,,
2040-01-01,-25.184,-28.872,-26.451,-24.965,-30.563,-25.825,-27.872,-27.045,-26.539,-26.247,-24.2,-28.407,-31.424,,,
2045-01-01,-24.238,-26.954,-26.451,-24.366,-30.563,-25.733,-25.819,-29.979,-28.308,-23.652,-24.2,-28.407,-26.691,,,
2050-01-01,-26.464,-24.229,-27.226,-24.366,-26.816,-25.332,-26.753,-29.979,-28.308,-23.652,-23.124,-25.631,-30.669,,,
2055-01-01,-26.676,-25.385,-27.226,-27.006,-26.816,-26.141,-26.753,-21.981,-27.791,-22.244,-22.028,-24.708,-30.669,,,
