,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.06,0.94,-0.19,-0.728,0.68,0.463,-0.024,-0.26,0.4,-0.183,0.88,0.732,0.938,,0.126,
1995-01-01,0.889,1.045,0.17,0.21,-0.094,0.468,0.169,0.362,-0.008,-0.983,0.869,0.098,0.324,,-0.727,
2000-01-01,0.656,1.01,0.118,0.063,0.086,0.155,0.136,0.262,0.155,-0.482,0.989,0.045,0.581,,-0.188,
2005-01-01,0.464,-0.081,0.284,0.435,-0.012,0.142,0.319,0.391,0.088,0.298,-0.322,0.057,-0.127,,0.506,
2010-01-01,-0.708,-1.461,0.137,0.462,-0.355,-0.465,0.021,-0.183,-0.13,0.515,-1.224,-0.746,-0.485,,0.282,
2015-01-01,-1.361,-1.454,-0.518,-0.442,-0.305,-0.762,-0.621,-0.573,-0.505,0.834,-1.192,-0.187,-1.231,,,
2020-01-01,-1.496,-1.941,-0.484,-1.989,-0.965,-1.373,-0.542,-0.476,-0.638,0.081,-1.625,-0.509,-1.683,,,
2025-01-01,-0.768,-1.466,-0.49,-2.125,-1.559,-1.797,-0.987,-1.504,-0.712,-0.931,-1.888,-0.803,-1.9,,,
2030-01-01,-0.899,-1.456,-0.715,-1.816,-1.234,-2.72,-1.403,-1.772,-0.962,-1.831,-1.43,-0.995,-2.425,,,
2035-01-01,-1.515,-1.762,-0.121,-1.381,-1.161,-3.173,-1.788,-2.257,-0.173,-1.526,-2.169,-1.479,-1.111,,,
2040-01-01,-2.177,-1.588,-0.763,-1.043,-1.369,-3.853,-2.842,-1.69,-0.07,-1.095,-2.399,-1.499,-1.719,,,
2045-01-01,-3.039,-1.272,-0.939,-1.889,-1.462,-4.201,-2.759,-0.407,-0.862,-1.291,-1.876,-1.766,-1.907,,,
2050-01-01,-2.713,-1.616,-0.616,-2.678,-1.533,-3.87,-2.741,-0.967,-1.132,-0.877,-2.456,-1.778,-1.634,,,
