,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,0.644,0.63,0.372,0.322,0.273,-0.107,0.445,0.093,0.227,0.758,0.394,0.209,1.268,,0.804,
1995-01-01,0.539,0.309,-0.095,0.017,0.55,0.171,0.524,-0.102,0.31,0.623,0.293,0.039,0.594,,0.696,
2000-01-01,0.116,0.055,-0.285,0.181,0.261,0.047,0.131,0.061,0.376,-0.212,0.261,0.21,0.007,,0.165,
2005-01-01,-0.249,-0.268,-0.162,-0.3,-0.104,-0.046,-0.151,-0.037,-0.038,-0.438,-0.279,-0.159,-0.182,,-0.566,
2010-01-01,-0.599,-0.315,-0.044,-0.163,-0.473,0.05,-0.319,-0.413,-0.208,-0.276,-0.34,-0.226,-0.619,,-1.099,
2015-01-01,-0.451,-0.411,0.214,-0.056,-0.507,-0.115,-0.63,0.398,-0.667,-0.456,-0.328,-0.073,-1.069,,,
2020-01-01,-0.177,-0.34,0.154,0.042,-0.117,-0.276,-0.555,0.124,-0.953,-0.09,-0.654,-0.665,-1.384,,,
2025-01-01,-0.206,-0.214,0.098,-0.586,0.106,-0.556,-0.624,-0.274,-1.416,-0.604,-0.706,-0.72,-2.143,,,
2030-01-01,-0.13,-0.554,0.238,-0.953,0.102,-0.628,-0.426,0.005,-1.39,-0.674,-0.778,-0.982,-2.823,,,
2035-01-01,-0.598,-0.714,0.547,-1.224,-0.211,-1.037,-0.388,-0.656,-1.556,-0.985,-0.609,-1.229,-2.674,,,
2040-01-01,-1.122,-0.708,0.635,-1.337,-0.284,-0.922,-0.443,-0.878,-1.678,-1.432,-0.683,-0.704,-2.669,,,
2045-01-01,-1.195,-0.923,0.331,-0.723,-0.081,-1.042,-0.637,-0.83,-1.344,-1.472,-0.681,-0.997,-3.476,,,
2050-01-01,-1.346,-0.816,0.25,-0.638,-0.024,-1.413,-0.791,-1.024,-1.284,-1.427,-0.62,-1.168,-3.569,,,
