,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.041,0.195,0.17,0.171,0.136,-0.141,-0.244,-0.56,-0.156,0.567,0.245,-0.053,1.213,,0.482,
1995-01-01,0.147,0.324,0.198,0.061,0.382,-0.087,-0.092,0.1,-0.156,0.656,0.252,-0.104,0.414,,0.843,
2000-01-01,0.052,0.147,-0.216,-0.045,0.278,-0.059,0.15,0.271,0.002,-0.259,0.431,0.249,0.02,,0.228,
2005-01-01,-0.073,-0.025,-0.472,-0.235,0.039,0.142,-0.018,0.125,-0.116,-0.224,0.134,0.003,-0.265,,-0.555,
2010-01-01,-0.113,-0.162,-0.013,-0.042,-0.392,0.099,0.084,-0.001,0.186,-0.156,-0.406,-0.144,-0.542,,-0.999,
2015-01-01,0.028,-0.478,0.334,0.09,-0.443,0.045,0.12,0.065,0.239,-0.584,-0.656,0.049,-0.839,,,
2020-01-01,0.305,-0.253,0.679,0.062,-0.213,-0.227,-0.15,0.074,0.043,-1.528,-0.906,-0.08,-1.309,,,
2025-01-01,0.129,-0.204,0.849,0.185,0.068,-0.454,-0.404,0.364,0.102,-2.672,-0.611,-0.203,-1.514,,,
2030-01-01,-0.15,-0.393,0.3,0.024,0.19,-0.424,-0.672,0.928,-0.409,-2.855,0.139,-0.421,-1.269,,,
2035-01-01,-0.481,-0.658,-0.226,0.065,-0.069,-0.517,-0.858,1.001,-0.729,-2.852,0.347,-0.605,-0.909,,,
2040-01-01,-0.799,-1.112,-0.521,0.412,-0.023,-0.488,-0.765,0.451,-0.18,-1.714,0.682,-0.493,-0.626,,,
2045-01-01,-0.714,-1.1,-0.461,0.448,0.005,-0.767,-0.661,0.576,-0.21,-1.084,0.84,-0.12,-0.981,,,
2050-01-01,-0.734,-0.787,-0.351,0.357,0.09,-0.818,-0.55,0.211,0.069,-0.978,0.78,-0.165,-1.669,,,
