,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,408.239,410.013,474.322,470.751,395.1,439.113,471.753,428.077,380.831,459.976,459.605,398.313,430.834,,,439.076
1990-01-01,482.345,410.013,425.528,470.751,395.1,482.522,473.74,428.077,451.741,474.427,459.605,398.313,430.834,,,439.076
1995-01-01,482.345,464.636,425.528,456.641,478.479,487.618,473.303,462.59,451.741,411.29,457.305,452.005,466.371,,,479.544
2000-01-01,493.243,464.636,423.252,422.28,476.376,387.832,416.771,408.845,456.624,411.29,410.296,452.005,460.926,,,417.753
2005-01-01,413.905,473.385,423.252,422.28,435.04,387.832,416.771,408.845,455.961,458.144,410.296,467.962,444.449,,,417.753
2010-01-01,413.905,426.573,473.004,421.499,435.04,459.969,456.284,474.633,455.961,447.301,444.298,459.674,444.449,,,446.249
2015-01-01,428.946,,,421.499,470.566,,377.079,474.633,432.842,423.273,444.298,457.43,407.838,,,446.249
2020-01-01,428.946,,,386.531,522.218,,377.079,461.104,420.436,423.273,550.648,440.779,407.838,,,
2025-01-01,495.803,,,386.531,483.761,,457.953,439.119,387.993,430.934,553.092,440.779,402.734,,,
2030-01-01,351.92,,,418.109,472.722,,457.953,438.208,386.389,448.909,509.455,428.086,402.734,,,
2035-01-01,351.92,,,491.036,472.722,,434.005,375.553,361.948,427.717,509.455,428.086,369.331,,,
2040-01-01,460.548,,,415.108,507.654,,425.106,375.553,361.948,401.854,515.783,483.963,369.331,,,
2045-01-01,457.571,,,415.108,492.099,,417.983,468.614,366.911,401.854,481.412,459.131,390.74,,,
2050-01-01,457.571,,,421.552,441.957,,417.983,424.954,444.081,493.462,481.412,456.868,390.74,,,
2055-01-01,462.025,,,332.882,441.957,,467.087,420.087,435.404,440.377,558.68,456.868,420.925,,,
