,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.532,-0.376,-0.644,-0.603,-0.512,-0.304,-0.465,-0.381,-0.529,-0.407,-0.537,-0.297,-0.8,,-0.282,
1995-01-01,-0.182,-0.157,-0.045,-0.461,-0.284,-0.109,-0.307,-0.186,-0.273,-0.137,-0.28,-0.004,-0.37,,-0.096,
2000-01-01,-0.069,0.086,0.216,-0.307,0.029,0.041,-0.057,-0.042,-0.064,0.054,-0.164,-0.109,-0.181,,-0.026,
2005-01-01,0.155,0.446,0.473,0.007,0.187,0.373,0.043,0.116,0.162,0.103,0.155,-0.185,0.196,,0.084,
2010-01-01,0.304,,,0.363,0.258,,0.292,0.25,0.253,0.177,0.41,0.205,0.45,,0.32,
2015-01-01,0.324,,,1.001,0.323,,0.495,0.244,0.451,0.209,0.417,0.389,0.706,,,
2020-01-01,0.328,,,1.441,0.403,,0.582,0.452,0.543,0.26,0.829,0.655,0.874,,,
2025-01-01,0.481,,,1.717,0.713,,0.702,0.594,0.7,0.562,1.008,0.87,1.224,,,
2030-01-01,0.701,,,1.809,0.817,,0.872,0.798,1.104,0.822,1.056,1.054,1.351,,,
2035-01-01,0.897,,,1.829,0.959,,1.006,0.941,1.204,1.015,1.416,1.27,1.602,,,
2040-01-01,1.143,,,1.984,1.167,,1.22,1.063,1.422,1.112,1.6,1.461,2.117,,,
2045-01-01,1.326,,,2.281,1.472,,1.31,1.224,1.618,1.314,1.822,1.798,2.302,,,
2050-01-01,1.581,,,2.632,1.736,,1.492,1.445,1.675,1.377,1.987,2.004,2.663,,,
