,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,-28.302,-27.254,-24.813,-29.541,-28.783,-26.228,-27.662,-27.83,-27.404,-29.662,-28.541,,-27.633,
1990-01-01,,,-28.302,-27.254,-28.826,-29.541,-28.783,-26.228,-26.819,-27.865,-25.764,-26.284,-25.893,,-26.658,
1995-01-01,,,-24.207,-27.179,-28.826,-25.98,-26.192,-25.188,-24.956,-27.865,-25.764,-26.284,-25.893,,-26.658,
2000-01-01,,,-24.207,-27.654,-24.888,-25.427,-26.192,-23.58,-24.148,-24.644,-26.415,-26.153,-26.996,,-25.638,
2005-01-01,,,-27.357,-27.654,-25.803,-24.864,-24.551,-25.083,-27.77,-24.901,-26.415,-26.153,-26.996,,-25.638,
2010-01-01,,,-27.357,-23.679,-25.803,-24.104,-24.158,-28.076,-27.77,-25.227,-25.899,-25.602,-26.229,,-25.384,
2015-01-01,,,-23.829,-22.887,-24.601,-24.104,-24.901,-29.177,-24.436,-25.227,-25.899,-23.423,-23.014,,-25.95,
2020-01-01,-25.387,-23.584,-26.456,-22.187,-22.433,-23.459,-24.901,-29.177,-24.436,-21.858,-26.22,-24.51,-22.557,,,
2025-01-01,-22.833,-24.252,-26.456,-22.187,-26.991,-24.267,-23.138,-27.977,-22.571,-21.851,-26.22,-24.51,-22.769,,,
2030-01-01,-24.121,-24.252,-24.761,-24.729,-26.991,-24.267,-22.454,-27.548,-21.876,-21.851,-21.842,-24.032,-24.787,,,
2035-01-01,-24.121,-23.87,-24.761,-25.362,-22.833,-20.942,-22.738,-27.548,-22.602,-20.63,-21.606,-23.66,-26.448,,,
2040-01-01,-22.513,-24.268,-23.003,-25.362,-23.844,-20.942,-25.154,-23.808,-22.602,-20.63,-21.606,-23.66,-26.923,,,
2045-01-01,-21.61,-24.268,-26.442,-21.808,-23.844,-18.939,-25.154,-23.026,-24.306,-19.413,-22.518,-20.294,-26.923,,,
2050-01-01,-23.721,-22.023,-26.442,-21.808,-22.245,-19.379,-23.673,-23.026,-24.306,-20.298,-23.853,-22.344,-23.858,,,
2055-01-01,-24.236,-22.023,-23.501,-23.35,-21.925,-19.379,-23.673,-22.625,-25.473,-21.135,-23.853,-22.344,-23.858,,,
