,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,37.009,36.527,35.852,37.615,38.028,37.023,37.841,36.694,37.786,38.595,38.149,,38.702,
1990-01-01,,,37.507,39.142,37.756,37.615,36.891,37.278,38.298,36.694,37.786,38.595,38.149,,38.529,
1995-01-01,,,38.165,39.142,37.756,38.035,37.747,39.165,38.491,38.358,37.227,38.248,37.436,,37.314,
2000-01-01,,,38.49,37.538,37.643,39.546,38.346,39.905,39.301,38.358,38.056,36.948,38.072,,39.041,
2005-01-01,,,38.49,39.607,40.8,39.546,39.736,39.905,39.301,40.127,38.056,39.111,39.438,,39.041,
2010-01-01,,,40.587,39.607,40.8,39.302,40.045,38.781,38.802,40.127,38.865,39.111,39.438,,39.104,
2015-01-01,,,40.587,39.273,40.23,39.178,40.045,38.781,38.802,40.48,43.059,40.23,40.156,,39.104,
2020-01-01,38.301,40.049,38.558,39.273,39.741,39.384,40.997,40.234,38.773,40.48,43.059,40.23,40.156,,,
2025-01-01,37.051,39.845,38.558,39.698,38.791,40.729,40.997,40.234,38.827,38.758,41.506,38.764,39.884,,,
2030-01-01,41.518,39.571,39.068,39.698,39.342,40.729,41.805,38.066,38.827,40.541,42.723,38.764,38.112,,,
2035-01-01,41.518,40.628,40.468,39.452,40.707,40.727,41.805,39.175,38.895,40.541,42.723,38.682,38.36,,,
2040-01-01,39.459,40.628,41.32,38.844,40.707,42.475,41.505,39.892,41.869,38.521,39.32,40.137,41.127,,,
2045-01-01,41.017,40.41,41.32,39.155,39.501,42.475,41.348,39.892,41.869,39.805,39.32,41.23,41.127,,,
2050-01-01,41.017,40.311,41.033,39.514,39.064,42.472,42.26,38.84,39.965,39.805,40.549,41.23,40.559,,,
2055-01-01,42.377,40.815,39.675,42.219,40.71,42.472,42.26,38.775,39.965,39.366,41.843,41.791,40.864,,,
