,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,35.424,34.796,35.221,36.911,36.657,34.452,34.778,35.724,36.251,35.593,35.002,,36.917,
1990-01-01,,,35.424,37.637,35.016,35.643,36.657,33.966,35.315,35.724,36.251,35.762,34.701,,35.343,
1995-01-01,,,36.363,37.637,35.381,35.643,35.972,37.497,36.023,36.169,35.898,35.762,35.268,,35.886,
2000-01-01,,,37.259,36.552,35.952,36.783,35.972,37.498,36.023,36.289,36.765,34.535,37.203,,35.886,
2005-01-01,,,37.259,36.552,36.598,36.911,34.462,37.498,36.972,37.576,36.765,37.244,37.523,,36.172,
2010-01-01,,,37.071,36.094,38.549,36.911,37.773,37.178,36.972,37.576,36.647,37.442,37.785,,37.532,
2015-01-01,,,,35.998,38.549,,37.773,37.178,39.185,36.209,36.691,38.93,37.785,,37.532,
2020-01-01,37.896,,,40.873,39.504,,36.461,40.726,39.185,37.243,37.676,38.93,37.292,,,
2025-01-01,37.251,,,40.873,43.191,,35.529,40.726,37.751,37.243,37.676,36.24,38.272,,,
2030-01-01,37.335,,,36.794,43.191,,35.304,37.257,37.751,37.19,37.653,38.317,38.272,,,
2035-01-01,38.347,,,36.794,39.694,,35.236,37.257,36.07,38.177,37.683,38.317,37.462,,,
2040-01-01,38.347,,,36.896,40.983,,36.487,35.783,37.36,39.318,37.683,38.305,39.142,,,
2045-01-01,40.304,,,38.139,40.983,,37.397,38.409,37.36,39.51,37.409,37.622,40.593,,,
2050-01-01,40.304,,,38.576,39.858,,37.397,39.729,37.047,39.51,37.941,38.86,40.593,,,
2055-01-01,37.495,,,40.882,39.858,,37.983,39.729,37.985,38.802,38.728,38.86,39.985,,,
