,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,-28.196,-29.689,-27.079,-28.459,-27.433,-28.404,-27.634,-28.687,-33.217,-29.006,-30.696,,-29.046,
1990-01-01,,,-30.911,-29.689,-28.084,-28.459,-28.673,-28.404,-27.634,-28.687,-33.217,-27.171,-26.097,,-29.046,
1995-01-01,,,-30.911,-27.847,-28.084,-26.965,-28.673,-25.797,-29.546,-26.875,-23.971,-27.359,-29.337,,-29.536,
2000-01-01,,,-26.051,-26.101,-28.464,-26.965,-28.252,-25.367,-29.546,-26.875,-23.971,-27.359,-29.337,,-29.536,
2005-01-01,,,-25.671,-23.953,-28.464,-25.863,-27.278,-27.747,-25.99,-27.204,-24.14,-27.482,-27.561,,-23.797,
2010-01-01,,,-25.091,-27.045,-25.597,-26.613,-25.79,-27.747,-24.99,-27.204,-26.428,-27.482,-24.171,,-25.204,
2015-01-01,,,-24.539,-27.045,-25.597,-28.044,-25.269,-27.905,-26.03,-25.837,-26.428,-25.509,-24.171,,-25.204,
2020-01-01,-26.836,-25.745,-27.089,-26.876,-24.623,-28.044,-27.193,-27.905,-26.03,-23.015,-23.761,-25.509,-25.524,,,
2025-01-01,-26.836,-23.944,-27.089,-21.458,-24.623,-27.757,-27.193,-25.348,-22.413,-24.871,-23.038,-25.506,-26.785,,,
2030-01-01,-25.676,-26.109,-24.884,-21.458,-22.614,-27.648,-25.789,-26.051,-22.413,-24.871,-23.038,-25.506,-26.785,,,
2035-01-01,-25.676,-26.109,-23.522,-21.931,-23.558,-24.628,-25.789,-26.415,-22.903,-24.463,-21.515,-22.404,-25.842,,,
2040-01-01,-23.18,-26.02,-24.235,-21.931,-25.367,-26.797,-25.903,-26.415,-22.903,-24.463,-25.152,-23.528,-25.842,,,
2045-01-01,-21.134,-20.917,-24.235,-18.824,-25.367,-26.797,-25.903,-26.022,-23.036,-22.051,-25.152,-23.644,-23.479,,,
2050-01-01,-22.279,-22.526,-25.189,-20.201,-22.59,-20.299,-22.836,-22.212,-23.036,-22.26,-23.397,-23.644,-25.003,,,
2055-01-01,-22.279,-22.526,-25.189,-20.201,-22.59,-25.02,-22.836,-20.786,-25.216,-22.26,-18.537,-21.84,-25.003,,,
